"cid","name","parent_cid","level"
"11","电脑硬件/显示器/电脑周边","0","一级类目"
"1101","笔记本电脑","0","一级类目"
"110201","主板","11","二级类目"
"110202","内存","11","二级类目"
"110203","CPU","11","二级类目"
"110204","软驱","50003321","三级类目"
"110205","声卡","11","二级类目"
"110206","显卡","11","二级类目"
"110207","机械硬盘","11","二级类目"
"110209","网卡","50018264","二级类目"
"110210","键盘","11","二级类目"
"110211","机箱","11","二级类目"
"110212","光驱/刻录/DVD","50003321","三级类目"
"110215","散热器/风扇","11","二级类目"
"110216","电视卡/电视盒","124226006","三级类目"
"110219","USB HUB/转换器","50018909","三级类目"
"110308","DIY兼容机","50018222","二级类目"
"1104","PDA/掌上电脑","50024109","三级类目"
"110501","扫描仪","50007218","二级类目"
"110502","显示器","125088001","三级类目"
"110507","移动硬盘","50012164","二级类目"
"110508","摄像头","124226006","三级类目"
"110510","图文信息/采集卡","50003321","三级类目"
"110511","手写输入/绘图板","11","二级类目"
"110520","鼠标垫/贴/腕垫","50003321","三级类目"
"110805","交换机","50018264","二级类目"
"110808","普通路由器","124238002","三级类目"
"110809","其它网络相关","50018264","二级类目"
"111002","域名服务","50014851","三级类目"
"111006","虚拟主机","50014851","三级类目"
"111201","复合复印机","50007218","二级类目"
"111202","传真机","50008551","三级类目"
"111214","考勤门禁","50024394","三级类目"
"111215","点钞机","50024346","三级类目"
"111217","打字机","50010757","三级类目"
"111219","投影机","50007218","二级类目"
"111220","收款机","50024346","三级类目"
"111403","墨粉/碳粉","50024248","三级类目"
"111404","墨盒","50024248","三级类目"
"111405","硒鼓/粉盒","50024248","三级类目"
"111406","刻录盘","50024253","三级类目"
"111409","其它耗材","50007218","二级类目"
"111703","3G无线上网卡设备","50008090","二级类目"
"1201","MP3/MP4/iPod/录音笔","0","一级类目"
"1205","耳机/耳麦","50011972","二级类目"
"120608","TAPE磁带随身听","50012067","三级类目"
"120611","碟/电池/电源适配器","50011866","三级类目"
"120612","便携VCD","50012067","三级类目"
"120802","耳机配件","50005051","三级类目"
"120826003","O2O专用（天猫专用）","50020579","二级类目"
"120826004","直通车/钻展图片","127074009","三级类目"
"120826009","J-街机三国","99","二级类目"
"120830004","发动机皮带/链条更换工时","50023951","三级类目"
"120830005","倒车镜/后视镜安装工时","50023951","三级类目"
"120830006","J-极光世界","99","二级类目"
"120832002","冷却系统部件安装改装工时","50023951","三级类目"
"120832003","J-JJ斗地主","99","二级类目"
"120832004","自由组套","50000054","三级类目"
"120832006","S-水浒Q传2","99","二级类目"
"120832008","轮眉/灯眉安装改装工时","50023954","三级类目"
"120832009","虚拟物品","120860012","三级类目"
"120834004","D-斗战神","99","二级类目"
"120834005","电气电路部件安装改装工时","50023951","三级类目"
"120834006","供油系统部件安装改装工时","50023951","三级类目"
"120836002","O2O专用（天猫专用）","50020611","二级类目"
"120836006","D-DOTA2","99","二级类目"
"120836007","L-零世界","99","二级类目"
"120836012","上门搭电/换电瓶/补胎/换胎","120872002","三级类目"
"120838004","J-君王2","99","二级类目"
"120838007","定位器/追踪器安装工时","50023960","三级类目"
"120838013","Q-企鹅战争","99","二级类目"
"120840001","O2O专用（天猫专用）","50008164","二级类目"
"120840006","D-大三国志","99","二级类目"
"120842003","T-同城游","99","二级类目"
"120844004","后备箱开启/助力安装工时","50023954","三级类目"
"120846007","L-龙之力量","99","二级类目"
"120846008","S-神雕","99","二级类目"
"120846009","S-三国演义","99","二级类目"
"120846011","P-PPTV","125950001","三级类目"
"120850004","O2O专用（天猫专用）","27","二级类目"
"120850005","X-寻龙记","99","二级类目"
"120850006","N-逆战","99","二级类目"
"120850007","Q-QQ封神记","99","二级类目"
"120850008","N-NBA2K","99","二级类目"
"120850009","S-360币","99","二级类目"
"120850010","座套安装改装工时","50023954","三级类目"
"120852005","雨刮器安装更换工时","50023951","三级类目"
"120852011","免费公开课","120892003","三级类目"
"120854005","行车记录仪安装工时","50023960","三级类目"
"120856003","自由组套","3314","三级类目"
"120856007","天线安装工时","50023954","三级类目"
"120856008","碳纤维改装件安装工时","50023954","三级类目"
"120856009","甜品/冰淇淋/冷饮","50852002","三级类目"
"120858002","O2O专用（天猫专用）","50020332","二级类目"
"120858004","电瓶/蓄电池安装更换工时","50023951","三级类目"
